County,State,Obesity_index,fast_food_density
East Susanville County,Indiana,32.05,0.5961
Justinport County,Indiana,32.44,0.5419
Jennifershire County,Indiana,32.06,0.5408
Lake Calvinside County,Indiana,30.66,0.5348
North Williamport County,Indiana,33.27,0.5747
Melissaview County,Indiana,30.57,0.552
Port Kylie County,Indiana,32.44,0.5192
Port Jennamouth County,Indiana,29.68,0.5375
Perkinsville County,Indiana,30.11,0.565
West Tracyshire County,Indiana,29.89,0.5091
Lake Charleshaven County,Indiana,30.13,0.5737
Hansonview County,Indiana,31.95,0.5798
Michaelton County,Indiana,31.91,0.5251
South Heatherland County,Indiana,31.05,0.5175
Gonzalesside County,Indiana,31.87,0.6026
Port Walterfurt County,Indiana,31.7,0.5262
Michaelbury County,Indiana,29.48,0.5378
Lake Michael County,Indiana,33.12,0.5968
Port Williechester County,Indiana,32.58,0.5725
East Kimberlyview County,Indiana,30.42,0.5484
South Darrenville County,Indiana,31.71,0.5803
South Jesusfurt County,Indiana,30.93,0.5521
Port Seanbury County,Indiana,30.97,0.5366
Rodriguezchester County,Indiana,29.71,0.565
East Zachary County,Indiana,30.0,0.5186
South Timothy County,Indiana,31.99,0.5304
Travisfort County,Indiana,30.98,0.5331
East Joseph County,Indiana,31.2,0.5532
North Matthewview County,Indiana,32.31,0.5175
Garciabury County,Indiana,30.44,0.5955
East Georgeburgh County,Indiana,31.44,0.5965
Erinberg County,Indiana,32.84,0.5848
Chanfurt County,Indiana,29.5,0.5781
New Erinburgh County,Indiana,30.74,0.5364
North Jason County,Indiana,31.23,0.5299
Danieltown County,Indiana,30.62,0.5153
West Melissabury County,Indiana,30.62,0.5821
Holmesburgh County,Indiana,30.58,0.5825
Donaldport County,Indiana,30.47,0.5937
Port Ryanmouth County,Indiana,29.71,0.5501
North Reneefort County,Indiana,29.72,0.5855
West Hannahstad County,Indiana,32.91,0.5285
West Johnbury County,Indiana,30.56,0.6039
Juanfurt County,Indiana,31.02,0.5726
Pagefort County,Indiana,31.58,0.5779
South Michele County,Indiana,29.63,0.566
New Chadchester County,Indiana,32.07,0.5893
Alyssachester County,Indiana,31.31,0.5706
Port Russellhaven County,Indiana,31.61,0.5711
Lauraland County,Indiana,32.39,0.5629
