County,State,Obesity_index,fast_food_density
Jasonview County,Kentucky,33.96,0.4576
Stephaniefurt County,Kentucky,34.12,0.4104
Biancahaven County,Kentucky,35.75,0.4753
Bryantton County,Kentucky,33.46,0.4144
Port Joshua County,Kentucky,35.35,0.4476
Reneeberg County,Kentucky,34.37,0.4489
Port Robert County,Kentucky,33.37,0.4246
New Markberg County,Kentucky,32.79,0.3942
New Yolanda County,Kentucky,34.05,0.4572
Lake Malloryside County,Kentucky,34.11,0.4346
Williamsberg County,Kentucky,35.27,0.3894
Chloeville County,Kentucky,33.85,0.4366
Gonzalezville County,Kentucky,35.98,0.4376
Popefort County,Kentucky,33.2,0.397
Meganbury County,Kentucky,34.57,0.4426
Elizabethberg County,Kentucky,33.88,0.4816
Petersonville County,Kentucky,36.58,0.43
East Robin County,Kentucky,36.11,0.3903
Port Carolhaven County,Kentucky,32.89,0.4092
Paynetown County,Kentucky,34.76,0.4318
East Nancyshire County,Kentucky,34.35,0.4755
Lake Cynthia County,Kentucky,33.11,0.419
Billyland County,Kentucky,35.74,0.4182
Barbarafurt County,Kentucky,35.0,0.4416
Carlosshire County,Kentucky,34.37,0.4197
Hudsonborough County,Kentucky,33.16,0.4541
West James County,Kentucky,35.1,0.3828
South Marcusstad County,Kentucky,33.71,0.4074
Port Dianefort County,Kentucky,32.84,0.4729
Bairdbury County,Kentucky,34.46,0.4642
Millerstad County,Kentucky,33.99,0.4319
South Manuel County,Kentucky,34.78,0.456
Port Jordanview County,Kentucky,36.24,0.4011
Ronaldborough County,Kentucky,33.75,0.4349
Kristiton County,Kentucky,35.29,0.4608
Johnsonmouth County,Kentucky,33.33,0.4797
Whitneyville County,Kentucky,33.57,0.4299
Brittanyside County,Kentucky,34.24,0.3916
Monicachester County,Kentucky,35.51,0.4322
Archerport County,Kentucky,34.94,0.3829
East Markville County,Kentucky,33.78,0.4671
Smithland County,Kentucky,33.9,0.4009
South Jaredhaven County,Kentucky,35.28,0.4349
Hansonfurt County,Kentucky,35.94,0.436
Lake Rachelport County,Kentucky,36.28,0.3912
Halltown County,Kentucky,33.58,0.4084
Gibsonstad County,Kentucky,36.14,0.4154
Allisonview County,Kentucky,34.89,0.4682
North Danielton County,Kentucky,35.28,0.4088
West Lisa County,Kentucky,33.64,0.4748
