County,State,Obesity_index,fast_food_density
South Bryanhaven County,Louisiana,36.01,0.2941
Lake Charles County,Louisiana,38.02,0.2347
East Richardside County,Louisiana,37.3,0.2107
Johnmouth County,Louisiana,36.41,0.2781
Robinburgh County,Louisiana,34.93,0.2897
New Kevin County,Louisiana,37.93,0.2249
Webbport County,Louisiana,36.92,0.2665
Lake Michelleshire County,Louisiana,34.84,0.2142
Hartport County,Louisiana,35.74,0.2843
Patriciamouth County,Louisiana,35.99,0.2193
East Robert County,Louisiana,37.6,0.2293
Cookmouth County,Louisiana,34.82,0.2728
Schneiderborough County,Louisiana,35.33,0.2291
West Johntown County,Louisiana,34.59,0.2703
Christinatown County,Louisiana,37.59,0.2506
New James County,Louisiana,37.22,0.2729
East Jenny County,Louisiana,34.52,0.2897
Amberfort County,Louisiana,34.42,0.2078
Hughesview County,Louisiana,35.41,0.2267
South Madison County,Louisiana,35.12,0.2056
East David County,Louisiana,36.53,0.2514
Lewisville County,Louisiana,35.26,0.2458
Port Cindyburgh County,Louisiana,38.02,0.269
Melissahaven County,Louisiana,36.02,0.2376
Port Samanthafurt County,Louisiana,35.73,0.3005
West Eric County,Louisiana,34.71,0.2194
Rebeccaton County,Louisiana,35.95,0.2556
North Jessica County,Louisiana,36.57,0.258
North Danstad County,Louisiana,36.41,0.2874
Bentleyberg County,Louisiana,36.9,0.2789
West Jasonshire County,Louisiana,35.98,0.26
Johnton County,Louisiana,36.94,0.2394
South Kennethfort County,Louisiana,34.61,0.2661
North Staceyborough County,Louisiana,36.14,0.2401
Ericfurt County,Louisiana,34.99,0.2276
Ruthshire County,Louisiana,36.1,0.2755
North Mark County,Louisiana,37.51,0.2512
South Charleshaven County,Louisiana,37.09,0.2646
East Julieside County,Louisiana,35.55,0.2402
Clairechester County,Louisiana,37.68,0.2949
Greenetown County,Louisiana,34.64,0.2708
Joshuashire County,Louisiana,36.3,0.2835
Josephton County,Louisiana,35.54,0.3018
Lake Edward County,Louisiana,38.1,0.2421
Rosemouth County,Louisiana,35.07,0.2775
Hendrickstown County,Louisiana,34.86,0.2067
Arnoldtown County,Louisiana,37.75,0.2346
Millsberg County,Louisiana,36.42,0.2451
South Steven County,Louisiana,35.31,0.219
Hernandezton County,Louisiana,36.86,0.2875
