County,State,Obesity_index,fast_food_density
Kimview County,Mississippi,36.77,0.0591
West Melissastad County,Mississippi,36.05,0.0472
Port Sarah County,Mississippi,33.86,0.1136
Kerrville County,Mississippi,36.58,0.0465
Lake Michelle County,Mississippi,36.39,0.1098
Brandyside County,Mississippi,35.48,0.044
Snyderchester County,Mississippi,33.72,0.1262
New Robertville County,Mississippi,33.79,0.1279
Port Samanthabury County,Mississippi,34.78,0.0827
Charlesland County,Mississippi,37.23,0.08
South Brandon County,Mississippi,35.7,0.1045
North Chelseahaven County,Mississippi,36.42,0.0548
North Michael County,Mississippi,34.35,0.0632
Thomaschester County,Mississippi,35.01,0.0637
Lake Sean County,Mississippi,33.61,0.0446
New Jennifer County,Mississippi,33.76,0.0593
Bushfurt County,Mississippi,35.33,0.0905
South Toddville County,Mississippi,34.41,0.1086
Baileyland County,Mississippi,34.07,0.1159
Christietown County,Mississippi,36.83,0.0407
West Eric County,Mississippi,36.12,0.0367
North Natalie County,Mississippi,37.14,0.0443
Leeburgh County,Mississippi,35.25,0.0758
New David County,Mississippi,34.64,0.0597
Reynoldsland County,Mississippi,37.03,0.0503
Williamchester County,Mississippi,35.45,0.0683
Yuland County,Mississippi,34.99,0.0532
Port Josephville County,Mississippi,37.08,0.0807
North Andreamouth County,Mississippi,37.15,0.039
Allisonmouth County,Mississippi,34.02,0.1201
Ruthmouth County,Mississippi,36.54,0.0891
North Jason County,Mississippi,36.73,0.1332
Wrightshire County,Mississippi,36.6,0.086
Hillborough County,Mississippi,35.35,0.1016
Robersonstad County,Mississippi,34.6,0.1157
West Andreafort County,Mississippi,37.42,0.0638
Jonathanbury County,Mississippi,33.9,0.1146
Madisonborough County,Mississippi,37.36,0.0525
Fletcherborough County,Mississippi,35.75,0.0804
West Keithfurt County,Mississippi,35.83,0.112
Port Zacharyton County,Mississippi,35.56,0.0631
North Joshuaborough County,Mississippi,34.92,0.0386
East Catherine County,Mississippi,36.47,0.0369
Lake Curtis County,Mississippi,36.25,0.0779
Masonburgh County,Mississippi,35.78,0.1154
Johnsonshire County,Mississippi,34.02,0.122
North Elizabeth County,Mississippi,35.86,0.077
Nicholastown County,Mississippi,36.28,0.1155
Port Yvonneland County,Mississippi,34.57,0.0368
Smithview County,Mississippi,35.21,0.0505
