County,State,Obesity_index,fast_food_density
Kennethburgh County,Missouri,32.91,0.2125
Smithfurt County,Missouri,33.51,0.2051
Pearsonville County,Missouri,30.7,0.2167
Reevesberg County,Missouri,33.5,0.2322
Higginsstad County,Missouri,30.89,0.2176
Lake Karen County,Missouri,34.26,0.2146
Port Daniel County,Missouri,33.54,0.2859
Port Brent County,Missouri,30.99,0.223
South Sydneyfort County,Missouri,33.14,0.2658
Christianport County,Missouri,33.64,0.2348
Kennethville County,Missouri,31.83,0.2027
Stephensmouth County,Missouri,33.96,0.2769
West Zacharystad County,Missouri,32.15,0.2326
West Tammystad County,Missouri,30.44,0.2036
West Monicafort County,Missouri,33.65,0.221
Samanthafort County,Missouri,31.15,0.206
Port Mike County,Missouri,32.43,0.2975
Robertstad County,Missouri,34.25,0.2242
West Rickybury County,Missouri,31.28,0.2896
Carterville County,Missouri,33.04,0.2559
Ramirezshire County,Missouri,33.83,0.2438
Barrborough County,Missouri,34.09,0.2893
Williamsmouth County,Missouri,31.35,0.2077
South Tony County,Missouri,30.72,0.2782
North Loriport County,Missouri,32.93,0.2596
South Richard County,Missouri,30.55,0.2637
Andrewburgh County,Missouri,32.09,0.2836
Lake Nicholas County,Missouri,32.86,0.2735
Lawsonfort County,Missouri,30.65,0.2188
Pottstown County,Missouri,33.98,0.2608
Chavezburgh County,Missouri,33.73,0.256
Jennifertown County,Missouri,33.73,0.2764
Victoriamouth County,Missouri,33.53,0.2179
South Jay County,Missouri,33.06,0.2658
North Tarachester County,Missouri,32.79,0.2175
Port Lesliehaven County,Missouri,32.85,0.2723
Lake Kenneth County,Missouri,33.25,0.2687
Scottview County,Missouri,31.74,0.2485
West Patricia County,Missouri,31.85,0.2591
West Veronicahaven County,Missouri,30.49,0.2936
South Suzannemouth County,Missouri,34.19,0.2629
Georgeland County,Missouri,32.42,0.2278
South Samantha County,Missouri,33.48,0.2898
Emmachester County,Missouri,33.11,0.2633
North Jocelyn County,Missouri,33.96,0.2053
East Betty County,Missouri,32.64,0.2076
Markside County,Missouri,30.79,0.2365
New Tyroneport County,Missouri,32.2,0.282
Alvarezberg County,Missouri,30.43,0.2306
Port Cody County,Missouri,33.41,0.226
