County,State,Obesity_index,fast_food_density
Lake Ryanside County,New Jersey,24.06,1.006
North Lindsayshire County,New Jersey,26.98,1.0401
Port Eric County,New Jersey,26.73,1.0254
Rachelfurt County,New Jersey,27.59,0.9567
Richardsonchester County,New Jersey,25.31,0.9951
South Charlesmouth County,New Jersey,26.24,1.0141
Markburgh County,New Jersey,24.05,1.0283
Collinsville County,New Jersey,24.38,0.9514
Nunezville County,New Jersey,24.06,0.9946
South Ashley County,New Jersey,25.42,1.0347
New Jamestown County,New Jersey,23.75,0.9905
North Michael County,New Jersey,24.58,1.0118
Nicholasberg County,New Jersey,25.55,1.0099
Lake Rebecca County,New Jersey,26.51,1.0139
Johnsonville County,New Jersey,27.06,0.9722
Garrettport County,New Jersey,26.01,0.9673
Nicholsonfort County,New Jersey,25.49,1.0064
New Samanthaland County,New Jersey,26.35,1.0187
Michaelmouth County,New Jersey,24.79,0.9736
South Jordan County,New Jersey,24.89,1.0164
Murphyborough County,New Jersey,25.8,0.9863
Baileyfort County,New Jersey,24.4,0.9782
Gibsonview County,New Jersey,26.1,1.0258
Cervantestown County,New Jersey,26.52,1.0239
Port Douglas County,New Jersey,25.71,1.0186
Pruittberg County,New Jersey,23.85,1.0474
Katherinemouth County,New Jersey,27.59,0.9848
Hortontown County,New Jersey,25.47,1.0226
Stewartburgh County,New Jersey,26.12,0.9577
Elizabethburgh County,New Jersey,26.77,1.0137
New Christophertown County,New Jersey,25.09,0.9931
Richardfort County,New Jersey,27.35,0.9845
Joanborough County,New Jersey,24.11,0.9528
Robersonstad County,New Jersey,24.98,0.9648
South Paul County,New Jersey,25.76,1.0169
New Andrew County,New Jersey,24.78,0.9837
South Amy County,New Jersey,24.08,1.0058
North Juliaton County,New Jersey,27.03,1.0262
Ryanmouth County,New Jersey,27.15,1.0267
East Robinside County,New Jersey,26.01,0.9612
South Jesse County,New Jersey,23.89,0.9879
Wandashire County,New Jersey,24.46,1.0456
Coryton County,New Jersey,25.97,0.9844
Larsenborough County,New Jersey,27.48,0.9651
Arnoldborough County,New Jersey,25.35,0.9555
Davisport County,New Jersey,24.75,0.9972
Lake Melissa County,New Jersey,24.37,0.9801
Hamptonland County,New Jersey,26.04,1.0099
Williambury County,New Jersey,25.57,0.9659
Rogersburgh County,New Jersey,24.33,1.0449
