County,State,Obesity_index,fast_food_density
Rickyview County,New Mexico,28.72,0.0872
Michaeltown County,New Mexico,27.38,0.0779
West Jenna County,New Mexico,28.83,0.0979
Lake Valeriebury County,New Mexico,28.8,0.0643
Michaelstad County,New Mexico,27.59,0.0554
Williamsonton County,New Mexico,29.31,0.0988
East Nathaniel County,New Mexico,26.8,0.098
North Kimberly County,New Mexico,27.11,0.073
Port Daniel County,New Mexico,29.93,0.0465
Lisaland County,New Mexico,29.84,0.0108
Port Samanthamouth County,New Mexico,27.95,0.0361
Darrellview County,New Mexico,27.88,0.0077
East Christopherhaven County,New Mexico,30.59,0.0559
Wrightstad County,New Mexico,30.35,0.0579
East Daniel County,New Mexico,27.02,0.0415
Alyssachester County,New Mexico,28.14,0.055
Deniseborough County,New Mexico,27.22,0.0572
North Bradley County,New Mexico,30.61,0.0915
Port Jeffreyberg County,New Mexico,28.59,0.0499
Gregorychester County,New Mexico,26.93,0.0575
Farleyfurt County,New Mexico,28.02,0.0735
Murrayview County,New Mexico,29.02,0.061
New Todd County,New Mexico,28.24,0.0497
South Ashleymouth County,New Mexico,28.05,0.0223
North Lisaton County,New Mexico,30.62,0.0517
Gibsontown County,New Mexico,29.09,0.0799
West Danielberg County,New Mexico,27.13,0.0559
North Josephhaven County,New Mexico,27.84,0.0069
Lake Justin County,New Mexico,28.23,0.0757
North Christinaton County,New Mexico,27.29,0.0395
Lake Christopherfurt County,New Mexico,26.84,0.0911
Thomasmouth County,New Mexico,30.68,0.0749
Sabrinafurt County,New Mexico,27.09,0.0802
North Sharon County,New Mexico,27.4,0.0919
New Jeffreyville County,New Mexico,30.05,0.0839
Gabrielleburgh County,New Mexico,27.22,0.0863
Crystalhaven County,New Mexico,27.66,0.0225
Brooksfort County,New Mexico,27.86,0.0993
Christophermouth County,New Mexico,27.04,0.0272
East Lisastad County,New Mexico,28.48,0.0039
South Deborahport County,New Mexico,27.24,0.0479
Madisontown County,New Mexico,30.17,0.017
Ronaldport County,New Mexico,30.54,0.0355
South Charles County,New Mexico,29.08,0.0149
Montgomeryberg County,New Mexico,27.51,0.045
Pruittchester County,New Mexico,27.93,0.0489
Erictown County,New Mexico,29.06,0.0772
West Samantha County,New Mexico,27.9,0.0841
Leonardville County,New Mexico,28.38,0.0461
Cookborough County,New Mexico,27.05,0.0148
