County,State,Obesity_index,fast_food_density
North Beverly County,New York,24.74,0.2459
Wilsonport County,New York,23.14,0.2671
New Michaelland County,New York,25.55,0.2755
East Laura County,New York,26.04,0.3087
Port Laurenmouth County,New York,24.03,0.2586
Kevinchester County,New York,24.69,0.2433
Johnmouth County,New York,25.78,0.2958
Kristyfort County,New York,23.26,0.3034
Whiteside County,New York,24.95,0.2487
Crystalfort County,New York,24.03,0.2458
West Daniel County,New York,23.36,0.3114
Michaelhaven County,New York,23.17,0.3223
East Christina County,New York,26.3,0.3107
Carpentertown County,New York,26.61,0.3035
Lake Sarahview County,New York,26.25,0.2425
Fischerside County,New York,26.71,0.2373
East Ashleystad County,New York,26.55,0.298
West Raymond County,New York,23.46,0.3248
North Zacharyhaven County,New York,26.8,0.2594
East Mariamouth County,New York,26.93,0.2692
Westland County,New York,23.18,0.2306
South Blake County,New York,24.75,0.2802
East Stacyport County,New York,26.8,0.2326
Alexmouth County,New York,25.99,0.2786
Jordantown County,New York,25.9,0.2799
North Cameron County,New York,26.45,0.2858
North Kyle County,New York,26.54,0.2389
Lanceshire County,New York,25.7,0.2486
Williamsport County,New York,24.52,0.302
Jenniferville County,New York,26.35,0.3141
Michellemouth County,New York,26.89,0.283
New Kellyhaven County,New York,26.38,0.3188
South Garyton County,New York,24.43,0.255
Karenstad County,New York,23.22,0.2463
Port Deborah County,New York,23.78,0.2767
Danielport County,New York,25.74,0.3072
Coreystad County,New York,23.78,0.2841
West Jill County,New York,26.59,0.2893
Longmouth County,New York,26.91,0.303
Danielborough County,New York,25.55,0.2587
West Denise County,New York,23.02,0.2359
Chloemouth County,New York,26.34,0.2992
East Gabriellefurt County,New York,26.33,0.2958
Richardmouth County,New York,24.02,0.2876
Port Anita County,New York,24.91,0.3135
Ryanmouth County,New York,26.17,0.2881
North Josephview County,New York,25.83,0.3082
East Jamesmouth County,New York,23.98,0.3247
South Jason County,New York,24.35,0.2607
Hancockfurt County,New York,25.74,0.281
