County,State,Obesity_index,fast_food_density
East Kristen County,North Carolina,29.89,0.3647
Pittsberg County,North Carolina,31.54,0.3014
Martintown County,North Carolina,29.85,0.3508
Colestad County,North Carolina,31.81,0.3107
Lindaborough County,North Carolina,30.08,0.3112
Lake Michaelmouth County,North Carolina,28.21,0.3159
Christopherberg County,North Carolina,31.18,0.3588
West John County,North Carolina,28.15,0.3598
Wellsburgh County,North Carolina,31.16,0.3236
East Michael County,North Carolina,30.73,0.3212
North Soniastad County,North Carolina,28.91,0.3749
East Tannerchester County,North Carolina,30.03,0.3122
Donnachester County,North Carolina,30.66,0.3329
North Evanport County,North Carolina,30.96,0.3097
East Samantha County,North Carolina,28.1,0.3902
Austinmouth County,North Carolina,31.68,0.3366
New Kimberlymouth County,North Carolina,30.02,0.3201
North Joann County,North Carolina,31.21,0.3282
New Aaron County,North Carolina,29.34,0.3718
New Edwardside County,North Carolina,29.69,0.353
Kristyview County,North Carolina,29.51,0.3665
Walkerland County,North Carolina,30.06,0.3341
Tateview County,North Carolina,28.17,0.3531
Port Matthewside County,North Carolina,29.5,0.3321
Port Thomaston County,North Carolina,29.35,0.3948
Lake Christinehaven County,North Carolina,31.93,0.3503
Allisonville County,North Carolina,28.35,0.3322
Lake Kenneth County,North Carolina,29.02,0.3122
Damonton County,North Carolina,29.83,0.3498
South Anita County,North Carolina,31.28,0.3697
Andersonstad County,North Carolina,29.8,0.3754
South Paul County,North Carolina,28.26,0.3668
Devinbury County,North Carolina,31.65,0.3051
Port Wanda County,North Carolina,31.81,0.3369
East Kristie County,North Carolina,31.1,0.3669
Lake Andreafurt County,North Carolina,28.75,0.3428
New Stacy County,North Carolina,31.58,0.324
Graymouth County,North Carolina,31.05,0.3671
New Erika County,North Carolina,30.63,0.3128
East Vanessa County,North Carolina,28.24,0.3392
Patrickstad County,North Carolina,28.46,0.3923
Port Barbara County,North Carolina,28.64,0.3821
Mcmahonchester County,North Carolina,28.35,0.3034
Port Joshuamouth County,North Carolina,29.5,0.3852
Port Allisonview County,North Carolina,29.15,0.3915
Michaelchester County,North Carolina,28.68,0.3867
New Timothy County,North Carolina,31.67,0.3883
West Mariamouth County,North Carolina,31.11,0.3843
Gravesberg County,North Carolina,30.79,0.3464
Lauraside County,North Carolina,31.02,0.3484
