County,State,Obesity_index,fast_food_density
South Jonathan County,North Dakota,29.41,0.0295
Michaelstad County,North Dakota,29.83,0.0
Sharonberg County,North Dakota,29.14,0.0718
North Sharonfurt County,North Dakota,32.93,0.0
Devinberg County,North Dakota,31.78,0.0525
Jeffreyville County,North Dakota,31.88,0.0708
West Lisaton County,North Dakota,30.32,0.0031
South Tammybury County,North Dakota,30.6,0.0
Lake Joseph County,North Dakota,30.18,0.0676
Port Elizabethland County,North Dakota,29.38,0.0252
Wardborough County,North Dakota,31.04,0.0764
New Erin County,North Dakota,31.4,0.0391
Johnstonbury County,North Dakota,30.91,0.0709
Piercestad County,North Dakota,30.77,0.0
Amandaburgh County,North Dakota,30.1,0.0053
New Lauraville County,North Dakota,30.28,0.0182
New Stephen County,North Dakota,32.88,0.004
Simpsonstad County,North Dakota,29.02,0.0525
East Thomasstad County,North Dakota,30.31,0.0542
Amberhaven County,North Dakota,31.06,0.0284
East Samantha County,North Dakota,29.34,0.0636
Stacyville County,North Dakota,29.68,0.0671
North James County,North Dakota,30.07,0.0339
Katieton County,North Dakota,32.5,0.0228
Port Rodney County,North Dakota,31.11,0.0395
Rodriguezstad County,North Dakota,30.67,0.0661
Sarafurt County,North Dakota,31.15,0.0402
Matthewmouth County,North Dakota,30.05,0.0
Jennifertown County,North Dakota,30.6,0.0236
West Johnside County,North Dakota,31.08,0.0199
Lake Thomas County,North Dakota,29.36,0.0746
Jeremyfort County,North Dakota,31.17,0.0456
New Richard County,North Dakota,32.41,0.0349
West Erin County,North Dakota,29.56,0.0403
Kimberlyside County,North Dakota,32.0,0.0041
Michaelshire County,North Dakota,31.54,0.0702
East Nichole County,North Dakota,29.76,0.0495
North Jason County,North Dakota,30.29,0.0
South Danielfort County,North Dakota,31.69,0.0605
New Christophertown County,North Dakota,31.68,0.069
Garciaport County,North Dakota,30.73,0.0
Kevinview County,North Dakota,30.77,0.0313
Martinezburgh County,North Dakota,31.4,0.0
Gabriellebury County,North Dakota,30.99,0.02
Port Martin County,North Dakota,30.8,0.0698
East Christopher County,North Dakota,31.18,0.0045
Torresville County,North Dakota,32.72,0.0331
Tiffanyton County,North Dakota,30.45,0.0011
Johnsonport County,North Dakota,29.29,0.0554
West Kelseyborough County,North Dakota,30.67,0.0134
