County,State,Obesity_index,fast_food_density
Lake Andrew County,Oregon,32.04,0.0346
Brownmouth County,Oregon,28.46,0.0943
Mollyton County,Oregon,30.28,0.0816
West Mitchellside County,Oregon,30.05,0.0465
Patriciabury County,Oregon,30.9,0.0146
Josephhaven County,Oregon,28.19,0.0705
Port Sydney County,Oregon,28.39,0.0775
Lake Kellichester County,Oregon,31.22,0.049
West Clifford County,Oregon,29.94,0.0406
Davidtown County,Oregon,28.29,0.0084
Port Thomasville County,Oregon,30.28,0.076
Oscarmouth County,Oregon,29.85,0.0668
Joelland County,Oregon,31.06,0.0897
Bowerston County,Oregon,30.95,0.0317
Andrewtown County,Oregon,28.14,0.0265
South Heatherport County,Oregon,31.1,0.0918
Garyfort County,Oregon,31.85,0.0634
West Ryanfort County,Oregon,31.29,0.0
North Melindaborough County,Oregon,29.63,0.0166
East Kristopher County,Oregon,30.29,0.0274
Lake Laurentown County,Oregon,28.22,0.0353
Jimenezbury County,Oregon,30.66,0.0477
New Ashley County,Oregon,29.37,0.0221
North Katie County,Oregon,28.54,0.0209
Lake Gregorystad County,Oregon,29.76,0.0655
Loganview County,Oregon,30.8,0.0242
Edwardfort County,Oregon,28.55,0.0293
New Miranda County,Oregon,31.79,0.0817
South Lori County,Oregon,31.69,0.0231
Sanchezville County,Oregon,30.76,0.0103
Dennisville County,Oregon,30.01,0.0379
North Kelly County,Oregon,29.2,0.0065
Port Matthewside County,Oregon,28.96,0.0918
Port Joseph County,Oregon,31.65,0.0011
North Jesseview County,Oregon,31.02,0.0
Lynchchester County,Oregon,30.38,0.0137
Davisfort County,Oregon,31.32,0.0823
Seanview County,Oregon,28.69,0.0293
East Kurtview County,Oregon,29.81,0.0477
Port Brittney County,Oregon,29.7,0.0807
Ronaldtown County,Oregon,31.67,0.0576
West Nicholas County,Oregon,31.25,0.0403
West Janet County,Oregon,30.81,0.0
Levymouth County,Oregon,28.53,0.0098
Grahambury County,Oregon,28.49,0.0369
Lake Carrieside County,Oregon,31.16,0.0003
West Markmouth County,Oregon,28.99,0.0934
Michaelborough County,Oregon,30.52,0.0788
Desireefort County,Oregon,31.23,0.0892
Port Jillianberg County,Oregon,29.18,0.0643
