County,State,Obesity_index,fast_food_density
Lisahaven County,Pennsylvania,29.04,0.3107
Kimmouth County,Pennsylvania,28.96,0.3432
Lake Amandachester County,Pennsylvania,30.51,0.3176
West Angieburgh County,Pennsylvania,31.5,0.2771
North Benjaminton County,Pennsylvania,28.46,0.2951
Josefurt County,Pennsylvania,29.31,0.3666
Michellehaven County,Pennsylvania,29.48,0.2785
Dennisview County,Pennsylvania,29.74,0.3358
Lake Annetteshire County,Pennsylvania,31.97,0.3631
East Davidhaven County,Pennsylvania,29.87,0.3421
North Nicholasmouth County,Pennsylvania,28.6,0.3159
North Williebury County,Pennsylvania,31.63,0.3547
Smithville County,Pennsylvania,29.84,0.2946
Stephaniemouth County,Pennsylvania,28.42,0.3171
Lake Rebecca County,Pennsylvania,30.59,0.2956
West Erinland County,Pennsylvania,30.79,0.3191
East Brendabury County,Pennsylvania,29.85,0.2958
South Carlos County,Pennsylvania,30.06,0.324
North Sandrafort County,Pennsylvania,28.7,0.3171
Christianmouth County,Pennsylvania,28.11,0.32
East Billy County,Pennsylvania,31.34,0.3391
Jessicamouth County,Pennsylvania,29.95,0.349
East Jason County,Pennsylvania,29.38,0.3446
North Stephanieside County,Pennsylvania,29.47,0.2845
Anthonystad County,Pennsylvania,28.47,0.3391
Macdonaldstad County,Pennsylvania,28.55,0.3662
Hollyport County,Pennsylvania,30.91,0.324
Boydchester County,Pennsylvania,31.05,0.3214
Karenmouth County,Pennsylvania,30.95,0.3475
Lake Javier County,Pennsylvania,31.9,0.3408
Lake Joanneville County,Pennsylvania,30.66,0.3467
Johnfort County,Pennsylvania,31.09,0.3601
North Makaylamouth County,Pennsylvania,31.43,0.368
Georgechester County,Pennsylvania,31.04,0.284
Fieldsfort County,Pennsylvania,28.73,0.3018
Gonzalesmouth County,Pennsylvania,30.42,0.3552
Carrollberg County,Pennsylvania,31.33,0.3158
New Amanda County,Pennsylvania,28.08,0.3191
Ramirezmouth County,Pennsylvania,28.95,0.34
Lopezshire County,Pennsylvania,28.86,0.3513
Moranhaven County,Pennsylvania,31.15,0.351
New Mary County,Pennsylvania,30.16,0.2894
South Elizabeth County,Pennsylvania,29.55,0.3316
Lake Kyleville County,Pennsylvania,30.52,0.2999
Deannachester County,Pennsylvania,31.09,0.2848
New Seanport County,Pennsylvania,28.9,0.3228
South Timothymouth County,Pennsylvania,29.97,0.3187
Youngberg County,Pennsylvania,30.03,0.3338
Jeffreytown County,Pennsylvania,30.64,0.3704
Floresview County,Pennsylvania,31.8,0.2853
