County,State,Obesity_index,fast_food_density
West Matthewhaven County,South Dakota,29.08,0.0502
Snyderville County,South Dakota,31.58,0.069
Barbaraberg County,South Dakota,28.7,0.0152
Nguyenborough County,South Dakota,31.9,0.0913
Avilaview County,South Dakota,31.35,0.0704
West Andrew County,South Dakota,30.35,0.0144
South Christopherbury County,South Dakota,31.74,0.1034
Davidport County,South Dakota,29.77,0.0637
Port Heather County,South Dakota,32.26,0.0947
West Melissaberg County,South Dakota,28.95,0.0326
Port Lindsey County,South Dakota,29.26,0.0761
Ginaburgh County,South Dakota,31.3,0.0678
Bellberg County,South Dakota,30.35,0.0759
Brownchester County,South Dakota,29.35,0.0715
South Madison County,South Dakota,31.52,0.0537
Lake Rebecca County,South Dakota,31.66,0.0778
Haasbury County,South Dakota,30.05,0.0693
New Madison County,South Dakota,30.84,0.0732
Wagnerfort County,South Dakota,28.45,0.0555
West Rebecca County,South Dakota,30.21,0.0778
Patriciafort County,South Dakota,30.84,0.0499
South Alyssabury County,South Dakota,30.35,0.0239
Jonesville County,South Dakota,32.09,0.0505
Brownburgh County,South Dakota,32.27,0.0639
Port Christyshire County,South Dakota,28.8,0.0545
Jamesborough County,South Dakota,29.21,0.0446
Port Cassandra County,South Dakota,32.11,0.0161
North Brianport County,South Dakota,31.85,0.108
Hamiltonland County,South Dakota,28.89,0.1068
Burnsside County,South Dakota,31.39,0.1023
Loriburgh County,South Dakota,32.0,0.0947
Mosleyburgh County,South Dakota,32.39,0.0159
Marystad County,South Dakota,29.91,0.046
Stephaniehaven County,South Dakota,31.55,0.0583
Halemouth County,South Dakota,28.74,0.0426
Smithhaven County,South Dakota,30.24,0.1128
Russellshire County,South Dakota,31.92,0.0224
East Janice County,South Dakota,28.72,0.0901
New Vickie County,South Dakota,32.39,0.0571
Dorisville County,South Dakota,31.16,0.089
New Caitlin County,South Dakota,30.74,0.1125
Lindafort County,South Dakota,29.49,0.0224
New Michael County,South Dakota,29.75,0.0995
Jasminebury County,South Dakota,30.13,0.0407
Tiffanyborough County,South Dakota,30.4,0.0471
Port Brandonburgh County,South Dakota,32.22,0.0654
East Elizabethland County,South Dakota,32.12,0.0486
Brownview County,South Dakota,28.58,0.06
Tylerborough County,South Dakota,30.9,0.0788
Rayberg County,South Dakota,28.69,0.1096
