County,State,Obesity_index,fast_food_density
Brittneychester County,Arizona,29.17,0.1108
Bakerside County,Arizona,30.34,0.1203
Joneshaven County,Arizona,26.83,0.0656
Michaelland County,Arizona,27.57,0.0995
Kleinchester County,Arizona,26.78,0.0557
East Carl County,Arizona,29.12,0.0968
Cunninghammouth County,Arizona,27.36,0.1105
Johnmouth County,Arizona,28.18,0.0731
East Cherylville County,Arizona,29.16,0.0436
Karinaton County,Arizona,28.38,0.0835
Carterport County,Arizona,30.1,0.0851
Macdonaldview County,Arizona,26.92,0.1112
South Mary County,Arizona,27.06,0.0598
North Rachelport County,Arizona,29.38,0.1187
Samuelshire County,Arizona,29.03,0.0969
Butlermouth County,Arizona,27.7,0.0752
West Tammy County,Arizona,30.25,0.0944
Stephaniemouth County,Arizona,29.65,0.0433
North Kaylastad County,Arizona,28.65,0.0453
Wagnerfurt County,Arizona,29.31,0.0984
North Patricia County,Arizona,30.39,0.0316
Kennedyport County,Arizona,27.65,0.0326
South Shawnstad County,Arizona,28.29,0.0544
Port Catherine County,Arizona,30.28,0.0821
Caldwellborough County,Arizona,29.52,0.0298
South Richard County,Arizona,29.37,0.1095
South Anthonyhaven County,Arizona,27.67,0.0847
Port Samuel County,Arizona,29.76,0.0899
Butlerfort County,Arizona,29.45,0.1148
Port Carolynberg County,Arizona,28.36,0.0505
Tracyview County,Arizona,27.04,0.0745
South Melissaburgh County,Arizona,28.22,0.1025
Kimchester County,Arizona,27.78,0.0292
Herrerashire County,Arizona,28.85,0.1189
Mariafort County,Arizona,26.8,0.066
Ortegaborough County,Arizona,27.03,0.0562
Barnesmouth County,Arizona,28.72,0.1256
Angelaside County,Arizona,27.81,0.072
West Caitlinchester County,Arizona,30.12,0.0838
Port Deannachester County,Arizona,28.46,0.0304
Austintown County,Arizona,26.66,0.0856
Brianchester County,Arizona,29.25,0.0646
Evansport County,Arizona,28.06,0.1261
Port Debra County,Arizona,30.24,0.0757
South Ryanburgh County,Arizona,27.05,0.0992
Alexisfort County,Arizona,30.31,0.0481
Kentshire County,Arizona,27.87,0.0629
South Erikstad County,Arizona,28.23,0.125
New Donna County,Arizona,29.27,0.1182
Jenniferland County,Arizona,28.51,0.06
