County,State,Obesity_index,fast_food_density
West Ralphstad County,Arkansas,33.22,0.1589
Catherinetown County,Arkansas,34.0,0.1887
North Amandabury County,Arkansas,32.59,0.1675
Lake Charlesburgh County,Arkansas,33.72,0.1591
New Paul County,Arkansas,35.99,0.133
East Brandyfort County,Arkansas,34.91,0.1033
Smallburgh County,Arkansas,35.85,0.1138
Collinsville County,Arkansas,35.61,0.1621
Port Terranceville County,Arkansas,35.45,0.1394
Shannonland County,Arkansas,36.2,0.1137
Port William County,Arkansas,36.33,0.1013
Port Andrewbury County,Arkansas,34.47,0.1044
Javierland County,Arkansas,33.69,0.1621
North Kathrynborough County,Arkansas,35.73,0.1482
Tinafurt County,Arkansas,32.53,0.1453
Downsmouth County,Arkansas,36.12,0.1133
Morrisstad County,Arkansas,36.42,0.126
Sandrafort County,Arkansas,33.17,0.1755
Dwayneport County,Arkansas,34.37,0.1171
Millerport County,Arkansas,34.68,0.0975
East Mark County,Arkansas,36.28,0.0938
New Gwendolyn County,Arkansas,33.88,0.1147
Kevinbury County,Arkansas,33.91,0.111
Youngville County,Arkansas,33.38,0.1075
East Tyler County,Arkansas,35.6,0.1708
New Cheryl County,Arkansas,34.54,0.1826
Matthewborough County,Arkansas,33.95,0.1077
West Carolyn County,Arkansas,32.97,0.1872
Larsonton County,Arkansas,33.1,0.1565
Michaelport County,Arkansas,34.15,0.1457
Moralesstad County,Arkansas,33.89,0.1024
Richardport County,Arkansas,35.59,0.1633
Port Vanessa County,Arkansas,36.42,0.1601
Jordanfurt County,Arkansas,35.96,0.1751
South Debbie County,Arkansas,33.15,0.1496
Nancytown County,Arkansas,33.92,0.1783
Thomasland County,Arkansas,36.44,0.1036
Lake Nancyland County,Arkansas,35.26,0.1562
West Jacqueline County,Arkansas,36.49,0.1907
Lake Heather County,Arkansas,36.46,0.1276
New Richardborough County,Arkansas,35.55,0.1828
Christinefort County,Arkansas,35.97,0.137
Watkinsberg County,Arkansas,35.51,0.17
East Justinside County,Arkansas,34.69,0.151
Amandahaven County,Arkansas,34.65,0.1881
New Vanessa County,Arkansas,36.04,0.1773
East Tammy County,Arkansas,33.7,0.1295
Kathytown County,Arkansas,35.78,0.1335
New Alyssa County,Arkansas,34.29,0.1197
Herreraside County,Arkansas,33.7,0.1191
