County,State,Obesity_index,fast_food_density
Georgeville County,California,23.23,0.1679
East Tiffanyburgh County,California,24.73,0.2269
Perrymouth County,California,25.77,0.2269
Tiffanystad County,California,24.92,0.1482
East Bryan County,California,22.63,0.1723
Taylorchester County,California,25.04,0.1748
East Amandaport County,California,22.62,0.1415
Port Frederickton County,California,25.78,0.1708
Lake Tinastad County,California,25.0,0.1951
East Larry County,California,23.66,0.1591
West Heathertown County,California,25.29,0.2264
Port Steven County,California,23.33,0.229
West Rachel County,California,22.95,0.1716
Joseside County,California,23.82,0.1327
New Jonathanport County,California,22.9,0.2217
Thorntonstad County,California,23.07,0.1935
Port Troyborough County,California,23.25,0.1721
Jasonshire County,California,23.11,0.2269
Port Kathrynmouth County,California,22.69,0.1764
Lake Brittanyside County,California,23.29,0.1491
East Rachael County,California,24.9,0.1587
New Joelton County,California,22.23,0.1435
Reeveschester County,California,25.19,0.197
New Joshua County,California,23.93,0.203
West Reneeville County,California,23.59,0.1385
Rosalesland County,California,25.04,0.1997
Moniquefort County,California,24.12,0.2299
Mccallstad County,California,24.79,0.2132
Reedton County,California,25.48,0.1757
Port Shelley County,California,23.56,0.2287
South Shannonhaven County,California,23.36,0.1554
Dylanmouth County,California,23.76,0.1538
North Daltonfort County,California,24.05,0.1818
Seanburgh County,California,23.47,0.162
Lake Ronaldmouth County,California,23.14,0.183
Carpenterfurt County,California,24.28,0.1897
Montgomeryborough County,California,25.61,0.1353
West Latashaton County,California,24.48,0.2069
West Frankmouth County,California,23.58,0.197
North Andrew County,California,22.88,0.2097
South Annafort County,California,22.32,0.1378
Bretttown County,California,26.09,0.1528
Port Garrett County,California,23.18,0.1449
Brittanyhaven County,California,22.28,0.136
Lake Sarahland County,California,25.14,0.1848
Thompsonborough County,California,24.78,0.2086
Sanchezview County,California,23.27,0.1328
Johnsonside County,California,23.83,0.2292
Diazstad County,California,25.09,0.1765
Kylemouth County,California,25.48,0.1647
