County,State,Obesity_index,fast_food_density
Katieborough County,Maryland,27.28,0.7837
Davidbury County,Maryland,27.85,0.7317
New Rhondaville County,Maryland,28.63,0.797
East Sherryburgh County,Maryland,27.64,0.8065
Dawsonberg County,Maryland,28.01,0.7474
Daletown County,Maryland,29.01,0.7966
West Patriciamouth County,Maryland,27.11,0.7587
Fergusonbury County,Maryland,27.71,0.7598
Pacefurt County,Maryland,27.72,0.7341
South Wendy County,Maryland,29.96,0.7263
Port Rebeccahaven County,Maryland,29.33,0.7516
Clarencemouth County,Maryland,29.97,0.7465
East Jesus County,Maryland,30.8,0.7955
West Steven County,Maryland,27.07,0.7567
West Williamberg County,Maryland,29.59,0.8064
Allenchester County,Maryland,27.31,0.784
West Loriborough County,Maryland,27.5,0.7277
New Andreachester County,Maryland,28.99,0.744
Lake Paulshire County,Maryland,29.51,0.803
Johnsonstad County,Maryland,28.7,0.7814
North Dawnmouth County,Maryland,30.88,0.7751
South Melissa County,Maryland,27.67,0.7536
Jenniferton County,Maryland,29.51,0.7834
South Ryanfort County,Maryland,27.64,0.7467
Port Denise County,Maryland,27.34,0.7646
Woodland County,Maryland,27.86,0.773
Clayside County,Maryland,27.24,0.8151
Kathrynchester County,Maryland,27.63,0.807
Chaneyberg County,Maryland,29.37,0.821
Griffinview County,Maryland,27.2,0.8063
West William County,Maryland,27.75,0.7264
Lake Davidfort County,Maryland,30.48,0.811
East Justin County,Maryland,28.62,0.7709
East Samuel County,Maryland,28.37,0.7808
Perkinshaven County,Maryland,27.88,0.7738
Cherylview County,Maryland,28.81,0.7904
Carrillomouth County,Maryland,28.69,0.7905
Lake Amy County,Maryland,29.7,0.7814
New Willie County,Maryland,30.36,0.7324
East Kelly County,Maryland,27.61,0.7565
Port Angela County,Maryland,28.47,0.8186
Lake Julie County,Maryland,28.09,0.8145
South Danielle County,Maryland,27.67,0.8076
Katrinamouth County,Maryland,30.86,0.7294
Taylorton County,Maryland,30.4,0.7819
Joshuashire County,Maryland,29.7,0.8102
Jenniferfort County,Maryland,30.05,0.7991
West Derekville County,Maryland,27.12,0.7647
Port Sandra County,Maryland,27.28,0.8226
East Nathanland County,Maryland,30.76,0.7947
