County,State,Obesity_index,fast_food_density
Lawsonmouth County,Massachusetts,23.74,0.7518
North Jesse County,Massachusetts,23.25,0.7552
Saundersside County,Massachusetts,23.17,0.7929
Lindsayshire County,Massachusetts,22.7,0.7848
South Tylerberg County,Massachusetts,25.9,0.7708
Kingtown County,Massachusetts,26.1,0.7506
East Robert County,Massachusetts,24.24,0.787
Williamfort County,Massachusetts,24.12,0.7623
Aguirreberg County,Massachusetts,23.8,0.7692
East Melissaton County,Massachusetts,22.84,0.8002
Peggyborough County,Massachusetts,24.45,0.7522
South Ruben County,Massachusetts,25.48,0.8227
Scottmouth County,Massachusetts,23.58,0.7634
Phamfurt County,Massachusetts,22.46,0.793
East James County,Massachusetts,25.48,0.803
Romeroville County,Massachusetts,26.03,0.7487
South Kimberlyfort County,Massachusetts,25.05,0.7975
Riddletown County,Massachusetts,25.44,0.7969
North Amanda County,Massachusetts,24.89,0.833
East Zachary County,Massachusetts,24.46,0.743
Gutierrezshire County,Massachusetts,26.26,0.7588
Rebeccaborough County,Massachusetts,24.6,0.7693
Lake Amanda County,Massachusetts,22.89,0.7384
New Luisview County,Massachusetts,24.56,0.7594
Lopezport County,Massachusetts,23.02,0.7633
Michaelfurt County,Massachusetts,24.43,0.7721
Tuckerside County,Massachusetts,22.97,0.7845
Colechester County,Massachusetts,22.93,0.7904
New Robert County,Massachusetts,26.02,0.7905
West Christina County,Massachusetts,25.63,0.7909
Hickmantown County,Massachusetts,25.35,0.819
North Krista County,Massachusetts,24.1,0.8287
New Jillview County,Massachusetts,25.17,0.7434
North Tina County,Massachusetts,24.1,0.7562
Freemanville County,Massachusetts,22.87,0.7818
Jasminemouth County,Massachusetts,22.41,0.7584
West Nathaniel County,Massachusetts,24.44,0.7811
South Amy County,Massachusetts,24.41,0.7406
Lake Tamaraland County,Massachusetts,23.52,0.8301
Gainesland County,Massachusetts,22.83,0.7811
Port Adam County,Massachusetts,25.95,0.7784
North Lauraborough County,Massachusetts,24.94,0.7727
Sellerschester County,Massachusetts,23.51,0.8146
Smithland County,Massachusetts,23.66,0.7396
Carlyfort County,Massachusetts,23.49,0.759
North Brittanyland County,Massachusetts,24.93,0.7395
Hallborough County,Massachusetts,25.44,0.8147
West Adammouth County,Massachusetts,24.15,0.7439
New Shawnbury County,Massachusetts,22.49,0.745
Ernestfort County,Massachusetts,24.29,0.7838
