County,State,Obesity_index,fast_food_density
Carpenterstad County,Minnesota,26.92,0.1208
Shepherdbury County,Minnesota,24.98,0.0998
South Kathleen County,Minnesota,24.5,0.0752
West Veronicashire County,Minnesota,24.31,0.0932
Morrisport County,Minnesota,28.05,0.0617
Batesview County,Minnesota,26.91,0.0416
East Chasestad County,Minnesota,27.0,0.1247
Johnsonburgh County,Minnesota,26.86,0.0423
Robertstad County,Minnesota,27.31,0.0934
Port Gregory County,Minnesota,27.24,0.0706
New Jamesborough County,Minnesota,27.04,0.0382
Port Phillipfurt County,Minnesota,26.71,0.0543
East Jason County,Minnesota,24.98,0.055
Sanchezburgh County,Minnesota,24.11,0.0573
Michaelmouth County,Minnesota,27.13,0.0733
Lake Pamelahaven County,Minnesota,26.57,0.1301
North Jacquelineside County,Minnesota,27.78,0.0689
Gardnertown County,Minnesota,26.48,0.0999
West Paula County,Minnesota,26.73,0.0531
Yorkburgh County,Minnesota,24.7,0.0741
East Amanda County,Minnesota,27.29,0.1139
West Brittany County,Minnesota,26.66,0.126
Brandontown County,Minnesota,26.13,0.0518
West Joseview County,Minnesota,25.23,0.115
Hickston County,Minnesota,27.4,0.0774
Suarezberg County,Minnesota,25.1,0.1042
Brianton County,Minnesota,26.88,0.0792
Andreaborough County,Minnesota,27.17,0.0415
Deannaton County,Minnesota,27.05,0.0623
Nguyenside County,Minnesota,26.62,0.0605
North Jennifer County,Minnesota,24.95,0.1345
East Kathychester County,Minnesota,25.09,0.0654
Port Emilyburgh County,Minnesota,27.46,0.0455
Bridgethaven County,Minnesota,24.93,0.1221
Port Crystal County,Minnesota,26.17,0.0864
New Sarah County,Minnesota,25.82,0.1054
East Cristianton County,Minnesota,26.85,0.0865
North Roberttown County,Minnesota,25.17,0.0668
South Brandyton County,Minnesota,25.01,0.131
Lunaborough County,Minnesota,25.05,0.1082
East Stephanie County,Minnesota,27.15,0.0375
South Anthonyberg County,Minnesota,26.83,0.0883
Boonebury County,Minnesota,25.13,0.0452
Lake Brendan County,Minnesota,24.69,0.1245
Rebeccafort County,Minnesota,27.45,0.0536
Grantborough County,Minnesota,24.82,0.0707
Kristiemouth County,Minnesota,25.31,0.1103
Jonesview County,Minnesota,27.1,0.0807
North Patrickville County,Minnesota,26.27,0.07
Lake Eric County,Minnesota,26.15,0.0603
