County,State,Obesity_index,fast_food_density
Delacruzstad County,Nebraska,31.54,0.0234
Mcclainchester County,Nebraska,31.83,0.0945
Scottfort County,Nebraska,31.91,0.0757
Bakerberg County,Nebraska,32.29,0.0979
Port Jamesbury County,Nebraska,32.59,0.0792
New Sherryville County,Nebraska,31.82,0.0843
Sarahborough County,Nebraska,30.85,0.0784
East Williamport County,Nebraska,31.89,0.072
Bakerburgh County,Nebraska,30.85,0.0531
North Carla County,Nebraska,29.4,0.0193
Lewisside County,Nebraska,33.31,0.0329
Nicholasshire County,Nebraska,32.83,0.0926
Port Josephberg County,Nebraska,33.09,0.0227
North Christy County,Nebraska,32.36,0.0341
New Julie County,Nebraska,30.79,0.0233
New Andrewville County,Nebraska,29.82,0.0145
Stonebury County,Nebraska,29.44,0.0298
Williamsmouth County,Nebraska,33.27,0.0727
Williammouth County,Nebraska,33.14,0.0478
East Zachary County,Nebraska,32.81,0.0256
Port Aprilshire County,Nebraska,31.13,0.0507
Bensonstad County,Nebraska,30.52,0.0882
North Jameston County,Nebraska,30.81,0.0629
Loweryhaven County,Nebraska,30.31,0.0716
North Alanville County,Nebraska,29.96,0.0755
Odommouth County,Nebraska,32.72,0.0463
East Richard County,Nebraska,32.37,0.0207
Melissashire County,Nebraska,32.24,0.0671
West Heather County,Nebraska,33.08,0.0204
East Ruth County,Nebraska,32.76,0.1015
Kimton County,Nebraska,30.01,0.0991
Martineztown County,Nebraska,33.25,0.0967
West Jill County,Nebraska,30.25,0.0932
North Ricardo County,Nebraska,31.24,0.0843
Bethanyhaven County,Nebraska,31.76,0.0532
West Kayla County,Nebraska,32.77,0.0354
Port Vickiemouth County,Nebraska,31.86,0.0207
Port Colinbury County,Nebraska,32.29,0.0744
Douglasview County,Nebraska,32.73,0.0236
Port Jesse County,Nebraska,30.17,0.101
Krystalmouth County,Nebraska,33.04,0.0169
North Tracymouth County,Nebraska,31.95,0.0608
Port Charleshaven County,Nebraska,31.2,0.0624
East Johnnyfort County,Nebraska,30.92,0.0466
North Tammyland County,Nebraska,31.2,0.061
Port Patricia County,Nebraska,31.18,0.0447
Lindseyland County,Nebraska,32.91,0.0692
West Jeff County,Nebraska,30.66,0.0437
Georgestad County,Nebraska,30.47,0.0813
Adamside County,Nebraska,29.44,0.0179
