County,State,Obesity_index,fast_food_density
Donnamouth County,Tennessee,34.91,0.2817
Michaelburgh County,Tennessee,31.9,0.3275
Johnsonland County,Tennessee,31.97,0.3425
Kylefurt County,Tennessee,32.32,0.3503
South Kimland County,Tennessee,34.44,0.2583
Wilsonside County,Tennessee,33.49,0.2929
South David County,Tennessee,33.69,0.3051
Patelside County,Tennessee,32.92,0.315
South Dylanfort County,Tennessee,31.89,0.2905
Bellshire County,Tennessee,35.42,0.2803
West John County,Tennessee,33.17,0.3297
Bowenmouth County,Tennessee,32.31,0.3108
Michaelbury County,Tennessee,32.32,0.2632
Port Thomasburgh County,Tennessee,31.85,0.3017
South Danielberg County,Tennessee,33.12,0.3073
New Ryanmouth County,Tennessee,34.76,0.3288
Cynthiaton County,Tennessee,34.81,0.3508
North Barbaratown County,Tennessee,35.24,0.3154
West Christopher County,Tennessee,33.08,0.2967
East Hunterbury County,Tennessee,32.84,0.2655
Kempbury County,Tennessee,32.57,0.3334
Lake Rachelmouth County,Tennessee,32.76,0.2555
Lanceshire County,Tennessee,33.97,0.3021
Harrellburgh County,Tennessee,31.94,0.3136
Jonesborough County,Tennessee,31.96,0.2991
Bakerfurt County,Tennessee,34.13,0.2892
East Richard County,Tennessee,32.72,0.3484
North Adam County,Tennessee,35.3,0.314
Matthewburgh County,Tennessee,32.63,0.3528
North Natasha County,Tennessee,33.62,0.3517
North Eileen County,Tennessee,32.91,0.2595
Jenniferstad County,Tennessee,35.39,0.2809
East Allisonland County,Tennessee,32.55,0.3459
Fitzgeraldchester County,Tennessee,34.33,0.2549
Christophermouth County,Tennessee,35.08,0.2752
Port Heidi County,Tennessee,33.7,0.2956
Lake Christopherberg County,Tennessee,34.81,0.3146
Port Christophermouth County,Tennessee,32.32,0.2592
Hoffmanview County,Tennessee,33.16,0.2921
Lake Melissafurt County,Tennessee,35.46,0.2766
Tiffanyton County,Tennessee,32.43,0.3104
Port Marilyn County,Tennessee,33.56,0.3372
Port Rogershire County,Tennessee,35.44,0.3215
Larsenmouth County,Tennessee,33.5,0.3419
Jonesland County,Tennessee,34.14,0.3024
Ortegafurt County,Tennessee,32.16,0.2904
South Christopher County,Tennessee,33.8,0.3212
West Seth County,Tennessee,34.35,0.2848
East Tonya County,Tennessee,33.48,0.2676
West Ericport County,Tennessee,35.43,0.2874
