County,State,Obesity_index,fast_food_density
Port Rebecca County,West Virginia,34.23,0.1568
Ricemouth County,West Virginia,35.23,0.1898
Joemouth County,West Virginia,36.2,0.2092
Port Ryan County,West Virginia,37.25,0.2349
Harrismouth County,West Virginia,36.23,0.1759
Collierville County,West Virginia,37.32,0.1827
Newtonton County,West Virginia,36.93,0.2356
South Travisstad County,West Virginia,36.62,0.2126
Nicolasland County,West Virginia,36.23,0.2148
West Stephanie County,West Virginia,36.85,0.2437
North Thomasfort County,West Virginia,35.28,0.2361
East Josephshire County,West Virginia,35.69,0.2413
Sarahfurt County,West Virginia,34.21,0.2128
South Jenniferberg County,West Virginia,35.1,0.2315
Stephaniebury County,West Virginia,35.67,0.1827
East Jeremy County,West Virginia,37.3,0.2068
West Barbarafort County,West Virginia,34.96,0.2286
Torreshaven County,West Virginia,35.12,0.2389
Aliciaton County,West Virginia,36.38,0.1508
North Michael County,West Virginia,35.18,0.2335
New Carmen County,West Virginia,34.67,0.1698
Jamesberg County,West Virginia,37.16,0.2427
South Jamie County,West Virginia,34.65,0.1881
Michelleshire County,West Virginia,37.16,0.1614
Dannyfurt County,West Virginia,35.29,0.1548
Susanborough County,West Virginia,34.73,0.2085
Thomasberg County,West Virginia,34.13,0.174
Ambermouth County,West Virginia,36.9,0.1513
Robertbury County,West Virginia,35.35,0.1748
New Kiaraberg County,West Virginia,36.91,0.2276
Laurenborough County,West Virginia,36.83,0.213
Allenville County,West Virginia,35.66,0.2435
North Austinfurt County,West Virginia,33.66,0.1476
North Douglas County,West Virginia,37.47,0.2273
Lake Mary County,West Virginia,36.96,0.2169
Lake Julie County,West Virginia,35.93,0.2378
Dixonfort County,West Virginia,37.13,0.239
Kennedyborough County,West Virginia,37.58,0.2297
Port Christopher County,West Virginia,35.96,0.2426
North Brandiland County,West Virginia,36.88,0.1733
New Amy County,West Virginia,35.51,0.167
North John County,West Virginia,36.19,0.2136
Gonzalezhaven County,West Virginia,36.8,0.2008
Rebeccafort County,West Virginia,36.74,0.183
Lake Ann County,West Virginia,34.0,0.2051
East Ronaldstad County,West Virginia,37.05,0.2132
New Michael County,West Virginia,36.51,0.2109
Patrickborough County,West Virginia,36.79,0.2368
Gilmoreville County,West Virginia,36.02,0.1932
Billfort County,West Virginia,36.17,0.2168
