County,State,Obesity_index,fast_food_density
Erinville County,Wisconsin,29.98,0.1779
West Gabriel County,Wisconsin,28.85,0.2174
New Kara County,Wisconsin,31.21,0.1864
Rodneychester County,Wisconsin,31.0,0.1834
South Jason County,Wisconsin,29.83,0.1216
East Lesliemouth County,Wisconsin,31.17,0.1411
West Joseph County,Wisconsin,30.08,0.2006
East John County,Wisconsin,32.08,0.2174
Wallacehaven County,Wisconsin,31.45,0.1644
Whiteburgh County,Wisconsin,32.17,0.1599
New Andrea County,Wisconsin,32.51,0.1924
Davistown County,Wisconsin,31.64,0.124
Sanchezland County,Wisconsin,30.21,0.2041
South Catherine County,Wisconsin,29.39,0.1876
East Jamesfurt County,Wisconsin,31.11,0.1255
North Michael County,Wisconsin,29.76,0.1871
Marychester County,Wisconsin,30.56,0.1806
West Nancy County,Wisconsin,32.07,0.1896
Smithmouth County,Wisconsin,28.89,0.1914
West Crystaltown County,Wisconsin,30.17,0.1807
Calvinburgh County,Wisconsin,30.93,0.1889
Hallhaven County,Wisconsin,32.58,0.1411
Kennethstad County,Wisconsin,30.31,0.1216
Port Pamela County,Wisconsin,30.99,0.1196
Johnsonfort County,Wisconsin,32.17,0.2125
East Wesley County,Wisconsin,29.01,0.1479
Lopezton County,Wisconsin,31.08,0.1969
West Francis County,Wisconsin,29.4,0.1974
Gutierrezmouth County,Wisconsin,30.99,0.1543
West Danielview County,Wisconsin,29.18,0.202
East Melissa County,Wisconsin,30.18,0.1951
Lake Kimberly County,Wisconsin,31.25,0.1228
New Andrewburgh County,Wisconsin,32.04,0.1569
New Elizabeth County,Wisconsin,30.7,0.1978
New Jeremytown County,Wisconsin,30.83,0.1455
Samanthaview County,Wisconsin,31.09,0.1838
Blackburnfurt County,Wisconsin,29.98,0.1887
Lake Troyton County,Wisconsin,31.17,0.1851
Ryanmouth County,Wisconsin,31.09,0.1832
New Amymouth County,Wisconsin,31.9,0.1976
Juanland County,Wisconsin,29.25,0.1461
Port Jeremy County,Wisconsin,31.89,0.1426
South Margaret County,Wisconsin,32.56,0.1491
Myersborough County,Wisconsin,31.24,0.1911
Andersenport County,Wisconsin,30.44,0.2137
North Daveland County,Wisconsin,32.11,0.1307
West Timothy County,Wisconsin,29.15,0.216
Georgestad County,Wisconsin,30.23,0.1452
Williamsfort County,Wisconsin,30.07,0.1282
Sanchezmouth County,Wisconsin,32.13,0.1906
