name,state,latitude,longitude
McDonald's,Texas,32.906469589,-97.036914825
Del Taco,Nevada,36.239075123,-115.167774509
McDonald's,Illinois,38.593009196,-89.955407025
The Agora,North Carolina,35.911196384,-79.057451842
Taco Bell,Wisconsin,43.137894,-88.24371
Alice's,Illinois,43.61586,13.530053
Mariu Kebabberia Gastronomica,Virginia,45.451035,9.198474
McDonald's,Illinois,43.52272,13.25199
McDonald's,Pennsylvania,39.1611,-78.1555
McDonald's,Virginia,36.789794073,-79.394510568
KFC,New Hampshire,43.30747,-70.97565
Jamba Juice,Nevada,36.1087,-115.1403
McDonald's,Virginia,36.868195,-82.77458
Burger King,Virginia,36.7508,-80.7494
Chick-fil-A,Kentucky,39.05544,-84.65603
McDonald's,Ohio,40.748181767,-81.517621099
Arby's,Indiana,39.307,-85.21674
McDonald's,Georgia,34.173428185,-84.54960713
McDonald's,Florida,27.27161,-80.42967
Burger King,Wisconsin,42.927263666,-88.113414381
McDonald's,Connecticut,41.421374192,-73.004618313
Burger King,Pennsylvania,40.98713,-75.22533
Pizza Hut,West Virginia,38.999409,-79.126589
Taco Bell,West Virginia,38.176358342,-81.304308
McDonald's,Pennsylvania,41.143513906,-75.900471431
Hardee's,Virginia,37.480953,-79.0755
Wendy's,Pennsylvania,40.480316,-78.01495
McDonald's,New York,42.83436,-75.54962
Burger King,Pennsylvania,41.2497,-75.81464
A&W,Michigan,42.879522684,-85.755762245
Long John Silvers,Virginia,37.33271,-82.1748
Burger King,Pennsylvania,43.370112381,-8.398568084
Burger King,New York,43.047371,-74.860598
Chester's Grill,New York,13.760110965,100.567486324
Burger King,Texas,20.578695611,-100.418922901
Burger King,Pennsylvania,40.287754,-79.369538
Hoka Hoka Bento,New York,-6.116430644,106.790124517
Burger King,Georgia,37.9873,-1.1296
Burger King,New York,-6.24427307,106.797100741
McDonald's,Texas,48.857845,2.277513
McDonald's,Pennsylvania,41.24398,-76.82976
Burger King,New York,42.9586,-76.9087
Chickenow,New York,39.943264982,-75.026366241
McDonald's,Texas,31.628328691,-97.240037186
Jamjam,Iowa,58.384419179,26.726935243
Wendy's,Florida,26.144903907,-80.130195999
Popeyes Louisiana Kitchen,Louisiana,30.470328568,-91.153022221
McDonald's,Oklahoma,35.234461445,-97.418894533
McDonald's,New York,42.09509,-73.935135
Quiznos,West Virginia,37.80249,-81.21374
McDonald's,Arkansas,34.82604,-92.38331
Taco Bell,Georgia,32.376167,-84.92335
Burger King,Florida,52.022988,8.532845
Taco Bell,North Carolina,35.33411801,-81.89239655
McDonald's,North Carolina,34.982947829,-80.448555621
Subway,North Carolina,35.386854658,-80.193660707
Burger King,Georgia,34.67684,-84.47796
McDonald's,Georgia,33.54027512,-84.263037198
McDonald's,Alabama,33.13682,-88.55083
KFC,Alabama,34.50972,-87.71729
Hardee's,Georgia,34.870086,-85.513707
McDonald's,Missouri,36.80331,-89.98686
Sonic Drive In,Louisiana,30.226723,-93.32627
McDonald's,Missouri,36.229295723,-89.726195796
Burger King,Virginia,37.157894,-76.57834
McDonald's,Ohio,41.14076707,-80.6520434
Subway,Arizona,17.989019394,-92.965096235
Burger King,Kansas,49.45753,7.80364
McDonald's,Oklahoma,35.388313168,-97.510576947
KFC,Maine,19.345261702,-99.149851799
McDonald's,Arkansas,33.680375,-93.60558
Burger King,New York,40.8691,-73.8248
McDonald's,California,36.764081633,-119.70100555
Burger King,Indiana,39.476561517,-0.405507355
Hotdoks,New Jersey,41.375525483,2.129481787
Domino's Pizza,North Carolina,34.669678,-77.33989
Burger King,North Carolina,40.457989,-3.700862
Burger King,Colorado,38.73847,-104.79677
Burger King,Illinois,38.540844,-89.871895
McDonald's,Washington,46.397172088,-117.032304001
Subway,Washington,22.776770767,-102.5977488
Sonic Drive-in (trailer),California,33.223714634,-117.394917379
Burger King,New Jersey,40.0128,-74.6225
McDonald's,South Carolina,34.901362255,-80.992155143
McDonald's,South Carolina,52.6743,9.68768
Burger King,Ohio,41.071628,1.149741
Burger King,Kentucky,36.66345,-87.47739
Bojangles,Georgia,34.011526,-85.045308
McDonald's,Louisiana,32.55632,-93.6136
McDonald's,Indiana,38.05701,-87.5461
Domino's Pizza,North Carolina,36.20043,-79.84375
McDonald's,Oregon,45.592594,-122.997096
Wendy's,Florida,25.09641,-80.439224
McDonald's,Georgia,34.08651,-84.52241
Arby's,Alabama,33.5534,-86.88625
Krystal,Florida,30.1803,-85.802
Taco Bell,Missouri,38.74788,-90.2802
KFC,Florida,26.00839,-80.27742
Burger King,Indiana,39.4458,-87.1245
