State,Obesity_index,fast_food_density
Texas,32.4,0.1153906800197239
California,24.2,0.1817707173845839
Kentucky,34.6,0.4326504263727455
Georgia,30.7,0.3063528549673974
Wisconsin,30.7,0.1694013053218558
Oregon,30.1,0.0452282309613222
Virginia,29.2,0.4147642552053802
Tennessee,33.8,0.3036867154676482
Louisiana,36.2,0.2538027441563359
New York,25.0,0.2773409049328804
Michigan,31.2,0.2186415087763783
Idaho,28.6,0.0486852229028795
Florida,26.8,0.4134223015591181
Alaska,29.8,0.0310403747326132
Montana,23.6,0.0
Minnesota,26.1,0.085189233529716
Nebraska,31.4,0.0539453711718248
Washington,26.4,0.1330265449761519
Ohio,29.8,0.694882850931605
Illinois,30.8,0.3379409425362246
Missouri,32.4,0.2485106433121082
Iowa,32.1,0.149479958183637
South Dakota,30.4,0.0630527148088726
Arkansas,34.5,0.1435891749564138
Mississippi,35.6,0.0840648288537163
Colorado,20.2,0.0687090983183969
North Carolina,30.1,0.3504893889665496
Utah,24.5,0.0826635732604556
Oklahoma,33.9,0.1488248157905809
Wyoming,29.0,0.0126494421136339
West Virginia,35.6,0.195050453960369
Indiana,31.3,0.5541721904131408
Massachusetts,24.3,0.7863607720448207
Nevada,26.7,0.0482413313745471
Connecticut,25.3,0.98178946549661
Rhode Island,26.0,0.98664571282654
Alabama,35.6,0.2368118819725099
South Carolina,31.7,0.3979613829363596
Maine,30.0,0.0580710126813859
Arizona,28.4,0.0790077345566534
New Mexico,28.8,0.0531198642304403
Maryland,28.9,0.7762228125290063
Delaware,29.7,0.8039833860646837
Pennsylvania,30.0,0.320934369877973
Kansas,34.2,0.0574454782212682
Vermont,25.1,0.2226943722767263
New Jersey,25.6,1.0
North Dakota,31.0,0.0286809107045294
New Hampshire,26.3,0.1910585881532919
New Dakota,21.61112704738505,0.7742721961419697
New Dakota,23.26083783797945,0.0649229979015209
New Dakota,22.623080056714127,0.9370799559508345
South Nevada,35.189777829837254,0.39632831634237287
East Texas,26.26978715846938,0.8058641110144575
