OBJECTID,State,Obesity_index,Area,Perimeter,fast_food_count,fast_food_density,fast_food_density_normalized
1,Texas,32.4,7672329221282.43,15408321.8693326,634.0,8.26346187336871e-11,0.11539068001972395
2,California,24.2,5327809415348.82,14518698.4569941,676.0,1.2688141547490794e-10,0.1817707173845839
3,Kentucky,34.6,1128830286205.16,6346698.58640708,332.0,2.941097559634934e-10,0.4326504263727455
4,Georgia,30.7,1652980281878.16,5795595.91864916,347.0,2.0992385922821137e-10,0.30635285496739745
5,Wisconsin,30.7,1567816094388.87,6806782.08136301,186.0,1.1863636345211918e-10,0.16940130532185588
6,Oregon,30.1,3178445626040.27,7976010.94221365,114.0,3.5866588078784284e-11,0.045228230961322224
7,Virginia,29.2,1158804356889.53,7710803.89951692,327.0,2.821874098555648e-10,0.41476425520538024
8,Tennessee,33.8,1177054472613.04,6350376.86054333,245.0,2.081466964363207e-10,0.30368671546764825
9,Louisiana,36.2,1355093764681.61,7383856.92000197,237.0,1.7489564646892535e-10,0.25380274415633597
10,New York,25.0,1411440550751.67,7981383.07833192,269.0,1.9058542696448863e-10,0.27734090493288044
11,Michigan,31.2,1657221839369.07,12407988.0255281,251.0,1.5145829848317687e-10,0.21864150877637833
12,Idaho,28.6,2593598268262.5,9081125.22172213,99.0,3.817090765807842e-11,0.0486852229028795
13,Florida,26.8,1674411223014.05,10533929.1449871,471.0,2.8129290674017887e-10,0.41342230155911813
14,Alaska,29.8,530113882175.211,6663726.59004341,14.0,2.6409419694036193e-11,0.031040374732613247
15,Montana,23.6,4371466366583.28,9745471.75281783,25.0,5.71890480299861e-12,0.0
16,Minnesota,26.1,2367874733298.77,8530250.43009455,148.0,6.250330641174415e-11,0.08518923352971605
17,Nebraska,31.4,2207444436489.05,6921599.98830379,92.0,4.1677153218101565e-11,0.05394537117182487
18,Washington,26.4,2214214821521.08,7508966.84072584,209.0,9.439011877647223e-11,0.13302654497615196
19,Ohio,29.8,1158015967784.83,5015484.92425697,543.0,4.689054513114403e-10,0.694882850931605
20,Illinois,30.8,1571568299021.75,6172530.808854,363.0,2.3097946187000314e-10,0.33794094253622464
21,Missouri,32.4,1949020823705.61,7165632.96911909,334.0,1.713681023504801e-10,0.24851064331210823
22,Iowa,32.1,1575588858361.24,5558144.62527852,166.0,1.0535743453571736e-10,0.149479958183637
23,South Dakota,30.4,2199053487799.14,6680911.24766789,105.0,4.774781540447488e-11,0.06305271480887263
24,Arkansas,34.5,1488699273851.56,5707634.00268186,151.0,1.0143082800687682e-10,0.1435891749564138
25,Mississippi,35.6,1327853198136.73,5834201.76780663,82.0,6.175381443902386e-11,0.08406482885371638
26,Colorado,20.2,3066878609025.77,7092296.49765181,158.0,5.151817862468008e-11,0.06870909831839692
27,North Carolina,30.1,1495755985997.67,6714056.23681002,358.0,2.3934385244075347e-10,0.35048938896654963
28,Utah,24.5,2614280967848.27,6798972.50369368,159.0,6.081978255415589e-11,0.08266357326045566
29,Oklahoma,33.9,1982448890091.04,7857119.56910824,208.0,1.0492073769954696e-10,0.14882481579058096
30,Wyoming,29.0,2897400399096.76,6860971.19037082,41.0,1.4150615846115506e-11,0.012649442113633978
31,West Virginia,35.6,685167361644.46,5374279.69671274,93.0,1.3573326052308167e-10,0.19505045396036907
32,Indiana,31.3,1010364222357.43,4858882.2188474,379.0,3.7511225319885054e-10,0.5541721904131408
33,Massachusetts,24.3,247224998616.445,4197218.18339706,131.0,5.298816896880188e-10,0.7863607720448207
34,Nevada,26.7,3564354191149.74,8240794.81052883,135.0,3.787502385009991e-11,0.04824133137454717
35,Connecticut,25.3,145421898749.233,1780630.95587218,96.0,6.601481676810133e-10,0.98178946549661
36,District of Columbia,22.1,1972102306.20581,200324.960807365,,,
37,Rhode Island,26.0,36178076494.7559,984524.581504144,24.0,6.633851858729653e-10,0.98664571282654
38,Alabama,35.6,1442806615255.99,5750657.81193695,236.0,1.6357008451761756e-10,0.2368118819725099
39,Puerto Rico,29.5,114783882866.07,2136273.27154324,,,
40,South Carolina,31.7,878270407989.028,4370940.54757697,238.0,2.7098715593179053e-10,0.3979613829363596
41,Maine,30.0,990384869167.161,5560035.3654817,44.0,4.442717308171386e-11,0.058071012681385925
42,Hawaii,22.7,,,40.0,,
43,Arizona,28.4,3562685913790.96,8044184.23411284,208.0,5.83829181222076e-11,0.07900773455665341
44,New Mexico,28.8,3622933199164.54,8075166.55523129,149.0,4.1126896856491825e-11,0.053119864230440385
45,Maryland,28.9,303943203060.042,5850363.29176001,159.0,5.231240521229573e-10,0.7762228125290063
46,Delaware,29.7,59081101610.6035,1383604.11821384,32.0,5.416283570829161e-10,0.8039833860646837
47,Pennsylvania,30.0,1288451936878.89,5024348.11270229,283.0,2.1964342782201975e-10,0.320934369877973
48,Kansas,34.2,2340365916403.12,6540498.42012793,103.0,4.4010211940831646e-11,0.05744547822126825
49,Vermont,25.1,278931330245.147,2653732.23281641,43.0,1.5415980686790612e-10,0.2226943722767263
50,New Jersey,25.6,224606547505.064,2599119.26117916,151.0,6.722867239504473e-10,1.0
51,North Dakota,31.0,2013151767296.55,5872756.35866059,50.0,2.4836676902479496e-11,0.02868091070452941
52,New Hampshire,26.3,270529403241.122,2674767.14799775,36.0,1.3307241123772898e-10,0.1910585881532919
